Spelling; nchar; LogFreq_Zipf; DomPoS
concerned; 9; 4.93; verb
education; 9; 4.93; noun
river; 5; 4.93; noun
supposed; 8; 4.92; verb
schools; 7; 4.92; noun
debate; 6; 4.92; noun
share; 5; 4.92; verb
warm; 4; 4.92; adjective
apart; 5; 4.92; adverb
village; 7; 4.92; noun
ring; 4; 4.92; noun
foot; 4; 4.92; noun
answers; 7; 4.92; noun
based; 5; 4.92; verb
glass; 5; 4.92; noun
field; 5; 4.92; noun
push; 4; 4.92; verb
keeping; 7; 4.92; verb
lived; 5; 4.92; verb
success; 7; 4.92; noun
choose; 6; 4.92; verb
worst; 5; 4.92; adjective
walking; 7; 4.92; verb
instead; 7; 4.91; adverb
missing; 7; 4.91; verb
kill; 4; 4.91; verb
pair; 4; 4.91; noun
higher; 6; 4.91; adjective
popular; 7; 4.91; adjective
speed; 5; 4.91; noun
journey; 7; 4.91; noun
member; 6; 4.91; noun
simply; 6; 4.91; adverb
truth; 5; 4.91; noun
return; 6; 4.91; noun
financial; 9; 4.91; adjective
dangerous; 9; 4.91; adjective
kick; 4; 4.91; noun
security; 8; 4.91; noun
normal; 6; 4.91; adjective
whoa; 4; 4.91; noun
sister; 6; 4.91; noun
growth; 6; 4.91; noun
army; 4; 4.91; noun
despite; 7; 4.9; preposition
crime; 5; 4.9; noun
fly; 3; 4.9; verb
track; 5; 4.9; noun
manager; 7; 4.9; noun
yours; 5; 4.9; noun
campaign; 8; 4.9; noun
heavy; 5; 4.9; adjective
present; 7; 4.9; adjective
managed; 7; 4.9; verb
shape; 5; 4.9; noun
die; 3; 4.9; verb
dancing; 7; 4.9; noun
however; 7; 4.9; adverb
feels; 5; 4.9; verb
attack; 6; 4.9; noun
drop; 4; 4.9; verb
starts; 6; 4.89; verb
wear; 4; 4.89; verb
write; 5; 4.89; verb
fresh; 5; 4.89; adjective
press; 5; 4.89; noun
doubt; 5; 4.89; noun
clock; 5; 4.89; noun
card; 4; 4.89; noun
cream; 5; 4.89; noun
university; 10; 4.89; noun
companies; 9; 4.89; noun
sale; 4; 4.89; noun
winner; 6; 4.89; noun
unfortunately; 13; 4.89; adverb
voice; 5; 4.89; noun
natural; 7; 4.89; adjective
boat; 4; 4.89; noun
personal; 8; 4.89; adjective
hell; 4; 4.89; noun
bag; 3; 4.89; noun
defence; 7; 4.89; noun
confidence; 10; 4.88; noun
parties; 7; 4.88; noun
potential; 9; 4.88; adjective
proper; 6; 4.88; adjective
following; 9; 4.88; verb
houses; 6; 4.88; noun
expected; 8; 4.88; verb
none; 4; 4.88; noun
held; 4; 4.88; verb
throw; 5; 4.88; verb
sunday; 6; 4.88; name
whose; 5; 4.88; pronoun
martin; 6; 4.88; name
extraordinary; 13; 4.88; adjective
bear; 4; 4.88; noun
driving; 7; 4.88; verb
union; 5; 4.88; name
finding; 7; 4.88; verb
stuck; 5; 4.88; verb
terrible; 8; 4.88; adjective
leg; 3; 4.88; noun
coalition; 9; 4.88; noun
china; 5; 4.87; name
figure; 6; 4.87; noun
confident; 9; 4.87; adjective
post; 4; 4.87; noun
pieces; 6; 4.87; noun
likely; 6; 4.87; adjective
stories; 7; 4.87; noun
nervous; 7; 4.87; adjective
seemed; 6; 4.87; verb
fighting; 8; 4.87; verb
tiny; 4; 4.87; adjective
huh; 3; 4.87; name
hmm; 3; 4.87; name
mike; 4; 4.87; name
draw; 4; 4.87; verb
planning; 8; 4.87; verb
television; 10; 4.87; noun
site; 4; 4.87; noun
coast; 5; 4.86; noun
bob; 3; 4.86; name
cover; 5; 4.86; verb
books; 5; 4.86; noun
items; 5; 4.86; noun
dogs; 4; 4.86; noun
totally; 7; 4.86; adverb
audience; 8; 4.86; noun
crisis; 6; 4.86; noun
ideas; 5; 4.86; noun
rich; 4; 4.86; adjective
excuse; 6; 4.86; noun
event; 5; 4.86; noun
roll; 4; 4.86; noun
broken; 6; 4.86; verb
relationship; 12; 4.86; noun
bits; 4; 4.86; noun
quiet; 5; 4.86; adjective
missed; 6; 4.86; verb
attention; 9; 4.86; noun
began; 5; 4.86; verb
conservative; 12; 4.85; adjective
scene; 5; 4.85; noun
seriously; 9; 4.85; adverb
raise; 5; 4.85; verb
legs; 4; 4.85; noun
impact; 6; 4.85; noun
shut; 4; 4.85; verb
bird; 4; 4.85; noun
birds; 5; 4.85; noun
letter; 6; 4.85; noun
rules; 5; 4.85; noun
normally; 8; 4.85; adverb
written; 7; 4.85; verb
eggheads; 8; 4.85; noun
conditions; 10; 4.85; noun
olympic; 7; 4.85; name
captain; 7; 4.85; noun
advice; 6; 4.85; noun
career; 6; 4.85; noun
helping; 7; 4.85; verb
glad; 4; 4.85; adjective
fans; 4; 4.85; noun
dress; 5; 4.85; noun
per; 3; 4.85; preposition
pain; 4; 4.85; noun
rate; 4; 4.85; noun
safety; 6; 4.85; noun
banks; 5; 4.85; noun
keen; 4; 4.85; adjective
arrived; 7; 4.84; verb
careful; 7; 4.84; adjective
condition; 9; 4.84; noun
jump; 4; 4.84; noun
wine; 4; 4.84; noun
yellow; 6; 4.84; adjective
hundreds; 8; 4.84; noun
successful; 10; 4.84; adjective
liked; 5; 4.84; verb
recently; 8; 4.84; adverb
smell; 5; 4.84; noun
fear; 4; 4.84; noun
sugar; 5; 4.84; noun
effect; 6; 4.84; noun
brain; 5; 4.84; noun
stone; 5; 4.84; noun
window; 6; 4.84; noun
surprised; 9; 4.84; verb
trade; 5; 4.83; noun
camera; 6; 4.83; noun
led; 3; 4.83; verb
saturday; 8; 4.83; name
machine; 7; 4.83; noun
bringing; 8; 4.83; verb
till; 4; 4.83; preposition
fingers; 7; 4.83; noun
created; 7; 4.83; verb
liberal; 7; 4.83; adjective
central; 7; 4.83; adjective
cause; 5; 4.83; noun
magic; 5; 4.83; adjective
cat; 3; 4.83; noun
fell; 4; 4.83; verb
nature; 6; 4.83; noun
usually; 7; 4.83; adverb
strange; 7; 4.83; adjective
homes; 5; 4.83; noun
joined; 6; 4.83; verb
accept; 6; 4.83; verb
benefit; 7; 4.83; noun
cars; 4; 4.83; noun
self; 4; 4.83; noun
explain; 7; 4.83; verb
winter; 6; 4.83; noun
hall; 4; 4.83; name
available; 9; 4.83; adjective
singing; 7; 4.82; verb
pointless; 9; 4.82; adjective
several; 7; 4.82; adjective
chicken; 7; 4.82; noun
common; 6; 4.82; adjective
alive; 5; 4.82; adjective
yep; 3; 4.82; name
eating; 6; 4.82; verb
latest; 6; 4.82; adjective
radio; 5; 4.82; noun
hurt; 4; 4.82; verb
travel; 6; 4.82; verb
investment; 10; 4.82; noun
prepared; 8; 4.82; verb
bright; 6; 4.82; adjective
darling; 7; 4.82; noun
language; 8; 4.82; noun
flying; 6; 4.82; verb
suddenly; 8; 4.82; adverb
military; 8; 4.82; adjective
paying; 6; 4.82; verb
picked; 6; 4.82; verb
weight; 6; 4.82; noun
helped; 6; 4.82; verb
states; 6; 4.82; name
station; 7; 4.82; noun
hate; 4; 4.81; verb
current; 7; 4.81; adjective
names; 5; 4.81; noun
prison; 6; 4.81; noun
forces; 6; 4.81; noun
bathroom; 8; 4.81; noun
protect; 7; 4.81; verb
damage; 6; 4.81; noun
reach; 5; 4.81; verb
farm; 4; 4.81; noun
scared; 6; 4.81; verb
turning; 7; 4.81; verb
target; 6; 4.81; noun
throughout; 10; 4.81; preposition
streets; 7; 4.81; noun
wearing; 7; 4.81; verb
aware; 5; 4.81; adjective
sam; 3; 4.81; name
search; 6; 4.81; noun
unusual; 7; 4.81; adjective
plant; 5; 4.81; noun
prize; 5; 4.81; noun
leaves; 6; 4.81; verb
champion; 8; 4.81; noun
losing; 6; 4.81; verb
results; 7; 4.81; noun
sad; 3; 4.81; adjective
cheese; 6; 4.81; noun
slow; 4; 4.81; adjective
similar; 7; 4.81; adjective
gentlemen; 9; 4.81; noun
cake; 4; 4.81; noun
wrote; 5; 4.81; verb
harry; 5; 4.81; name
meat; 4; 4.8; noun
friday; 6; 4.8; name
pictures; 8; 4.8; noun
science; 7; 4.8; noun
rid; 3; 4.8; adjective
bet; 3; 4.8; verb
increase; 8; 4.8; noun
officers; 8; 4.8; noun
closer; 6; 4.8; adjective
likes; 5; 4.8; verb
range; 5; 4.8; noun
pat; 3; 4.8; name
egg; 3; 4.8; noun
pink; 4; 4.8; adjective
loads; 5; 4.8; noun
stopped; 7; 4.8; verb
stars; 5; 4.8; noun
positive; 8; 4.8; adjective
edge; 4; 4.8; noun
sex; 3; 4.8; noun
operation; 9; 4.79; noun
chief; 5; 4.79; name
research; 8; 4.79; noun
leading; 7; 4.79; verb
mistake; 7; 4.79; noun
debt; 4; 4.79; noun
congratulations; 15; 4.79; noun
due; 3; 4.79; adjective
trees; 5; 4.79; noun
promise; 7; 4.79; verb
snow; 4; 4.79; noun
greatest; 8; 4.79; adjective
sky; 3; 4.79; noun
sauce; 5; 4.79; noun
crazy; 5; 4.79; adjective
opening; 7; 4.79; noun
expensive; 9; 4.79; adjective
according; 9; 4.79; verb
region; 6; 4.79; noun
politicians; 11; 4.79; noun
skills; 6; 4.79; noun
super; 5; 4.79; adjective
mess; 4; 4.79; noun
seat; 4; 4.78; noun
provide; 7; 4.78; verb
charity; 7; 4.78; noun
stupid; 6; 4.78; adjective
commission; 10; 4.78; noun
studio; 6; 4.78; noun
rise; 4; 4.78; noun
everywhere; 10; 4.78; adverb
plus; 4; 4.78; conjunction
focus; 5; 4.78; noun
mouth; 5; 4.78; noun
square; 6; 4.78; noun
wood; 4; 4.78; noun
reckon; 6; 4.78; verb
kid; 3; 4.78; noun
heading; 7; 4.78; verb
speaking; 8; 4.78; verb
buying; 6; 4.78; verb
reading; 7; 4.78; verb
enjoyed; 7; 4.78; verb
unless; 6; 4.78; preposition
awful; 5; 4.78; adjective
ride; 4; 4.78; noun
noise; 5; 4.78; noun
prove; 5; 4.78; verb
changing; 8; 4.78; verb
begin; 5; 4.77; verb
twice; 5; 4.77; adverb
birthday; 8; 4.77; noun
laugh; 5; 4.77; noun
website; 7; 4.77; noun
respect; 7; 4.77; noun
calling; 7; 4.77; verb
showing; 7; 4.77; verb
beyond; 6; 4.77; preposition
capital; 7; 4.77; noun
agreed; 6; 4.77; verb
gas; 3; 4.77; noun
dinner; 6; 4.77; noun
title; 5; 4.77; noun
committee; 9; 4.77; noun
fat; 3; 4.77; adjective
county; 6; 4.77; noun
estate; 6; 4.77; noun
decisions; 9; 4.77; noun
chocolate; 9; 4.77; noun
balls; 5; 4.77; noun
reveal; 6; 4.77; verb
workers; 7; 4.77; noun
goodbye; 7; 4.77; name
ship; 4; 4.77; noun
pounds; 6; 4.77; noun
painting; 8; 4.77; noun
passed; 6; 4.77; verb
cloud; 5; 4.77; noun
lie; 3; 4.77; verb
scored; 6; 4.76; verb
false; 5; 4.76; adjective
heat; 4; 4.76; noun
effort; 6; 4.76; noun
writing; 7; 4.76; verb
surely; 6; 4.76; adverb
rights; 6; 4.76; noun
events; 6; 4.76; noun
crowd; 5; 4.76; noun
design; 6; 4.76; noun
tour; 4; 4.76; noun
nation; 6; 4.76; noun
afford; 6; 4.76; verb
responsibility; 14; 4.76; noun
hole; 4; 4.76; noun
lines; 5; 4.76; noun
pot; 3; 4.76; noun
hotel; 5; 4.76; noun
holding; 7; 4.76; verb
lower; 5; 4.76; adjective
foreign; 7; 4.76; adjective
hat; 3; 4.76; noun
sick; 4; 4.76; adjective
failed; 6; 4.76; verb
master; 6; 4.76; noun
credit; 6; 4.76; noun
opened; 6; 4.76; verb
allow; 5; 4.76; verb
older; 5; 4.76; adjective
extremely; 9; 4.76; adverb
frame; 5; 4.76; noun
estimate; 8; 4.76; noun
recent; 6; 4.76; adjective
wet; 3; 4.76; adjective
upstairs; 8; 4.75; noun
arms; 4; 4.75; noun
aye; 3; 4.75; name
costs; 5; 4.75; noun
independent; 11; 4.75; adjective
row; 3; 4.75; noun
skin; 4; 4.75; noun
fault; 5; 4.75; noun
danger; 6; 4.75; noun
trip; 4; 4.75; noun
easier; 6; 4.75; adjective
properly; 8; 4.75; adverb
access; 6; 4.75; noun
legal; 5; 4.75; adjective
lift; 4; 4.75; verb
raised; 6; 4.75; verb
fairly; 6; 4.75; adverb
weird; 5; 4.75; adjective
treat; 5; 4.75; verb
traditional; 11; 4.75; adjective
sunshine; 8; 4.75; noun
justice; 7; 4.75; noun
details; 7; 4.75; noun
statement; 9; 4.75; noun
students; 8; 4.75; noun
turns; 5; 4.75; verb
upon; 4; 4.75; preposition
bar; 3; 4.75; noun
ended; 5; 4.74; verb
businesses; 10; 4.74; noun
usual; 5; 4.74; adjective
ourselves; 9; 4.74; pronoun
knowledge; 9; 4.74; noun
incredibly; 10; 4.74; adverb
peace; 5; 4.74; noun
subject; 7; 4.74; noun
department; 10; 4.74; noun
bus; 3; 4.74; noun
officer; 7; 4.74; noun
fabulous; 8; 4.74; adjective
literally; 9; 4.74; adverb
fancy; 5; 4.74; adjective
clothes; 7; 4.74; noun
loves; 5; 4.74; verb
moon; 4; 4.74; noun
collection; 10; 4.74; noun
eggs; 4; 4.74; noun
theatre; 7; 4.74; unclassified
calls; 5; 4.74; noun
prince; 6; 4.74; name
apparently; 10; 4.73; adverb
doors; 5; 4.73; noun
cases; 5; 4.73; noun
plants; 6; 4.73; noun
tight; 5; 4.73; adjective
benefits; 8; 4.73; noun
expert; 6; 4.73; noun
flowers; 7; 4.73; noun
environment; 11; 4.73; noun
balance; 7; 4.73; noun
goodness; 8; 4.73; noun
mad; 3; 4.73; adjective
reasons; 7; 4.73; noun
strike; 6; 4.73; noun
gentleman; 9; 4.73; noun
wide; 4; 4.73; adjective
plate; 5; 4.73; noun
ran; 3; 4.73; verb
strongest; 9; 4.73; adjective
milk; 4; 4.73; noun
cooked; 6; 4.73; verb
heads; 5; 4.73; noun
fruit; 5; 4.73; noun
opposition; 10; 4.73; noun
culture; 7; 4.73; noun
average; 7; 4.73; adjective
grown; 5; 4.73; verb
reports; 7; 4.73; noun
calm; 4; 4.72; adjective
shame; 5; 4.72; noun
gorgeous; 8; 4.72; adjective
wee; 3; 4.72; noun
patient; 7; 4.72; noun
eventually; 10; 4.72; adverb
rooms; 5; 4.72; noun
ensure; 6; 4.72; verb
victory; 7; 4.72; noun
lunch; 5; 4.72; noun
talked; 6; 4.72; verb
knock; 5; 4.72; verb
discovered; 10; 4.72; verb
millions; 8; 4.72; noun
beach; 5; 4.72; noun
roof; 4; 4.72; noun
speech; 6; 4.72; noun
contact; 7; 4.72; noun
entire; 6; 4.72; adjective
standard; 8; 4.72; noun
nose; 4; 4.72; noun
internet; 8; 4.72; noun
review; 6; 4.72; noun
waste; 5; 4.72; noun
mps; 3; 4.72; noun
crew; 4; 4.72; noun
showed; 6; 4.72; verb
base; 4; 4.72; noun
properties; 10; 4.72; noun
scale; 5; 4.72; noun
prices; 6; 4.72; noun
fan; 3; 4.71; noun
notice; 6; 4.71; verb
majority; 8; 4.71; noun
lee; 3; 4.71; name
blow; 4; 4.71; verb
powerful; 8; 4.71; adjective
smile; 5; 4.71; noun
angry; 5; 4.71; adjective
movement; 8; 4.71; noun
individual; 10; 4.71; adjective
hill; 4; 4.71; noun
previous; 8; 4.71; adjective
falling; 7; 4.71; verb
count; 5; 4.71; verb
artist; 6; 4.71; noun
cutting; 7; 4.71; verb
development; 11; 4.71; noun
approach; 8; 4.71; noun
driver; 6; 4.71; noun
clever; 6; 4.71; adjective
quid; 4; 4.71; noun
views; 5; 4.71; noun
bridge; 6; 4.71; noun
pub; 3; 4.71; noun
media; 5; 4.71; noun
films; 5; 4.71; noun
housing; 7; 4.71; noun
smith; 5; 4.71; name
below; 5; 4.71; preposition
paint; 5; 4.7; noun
patients; 8; 4.7; noun
mix; 3; 4.7; noun
produce; 7; 4.7; verb
arm; 3; 4.7; noun
rubbish; 7; 4.7; adjective
olympics; 8; 4.7; name
perfectly; 9; 4.7; adverb
caused; 6; 4.7; verb
sides; 5; 4.7; noun
generation; 10; 4.7; noun
teeth; 5; 4.7; noun
concern; 7; 4.7; noun
chances; 7; 4.7; noun
impressive; 10; 4.7; adjective
item; 4; 4.7; noun
sat; 3; 4.7; verb
quarter; 7; 4.7; noun
odd; 3; 4.7; adjective
bedrooms; 8; 4.7; noun
otherwise; 9; 4.7; adverb
reality; 7; 4.7; noun
murder; 6; 4.7; noun
significant; 11; 4.7; adjective
mystery; 7; 4.7; noun
disappointed; 12; 4.7; verb
chef; 4; 4.7; noun
covered; 7; 4.69; verb
herself; 7; 4.69; pronoun
opinion; 7; 4.69; noun
upset; 5; 4.69; adjective
funding; 7; 4.69; noun
responsible; 11; 4.69; adjective
salt; 4; 4.69; noun
easily; 6; 4.69; adverb
closed; 6; 4.69; verb
expecting; 9; 4.69; verb
classic; 7; 4.69; adjective
marriage; 8; 4.69; noun
designed; 8; 4.69; verb
bread; 5; 4.69; noun
fund; 4; 4.69; noun
bowl; 4; 4.69; noun
carried; 7; 4.69; verb
professional; 12; 4.69; adjective
scheme; 6; 4.69; noun
fucking; 7; 4.69; verb
technology; 10; 4.69; noun
hunt; 4; 4.69; noun
leaders; 7; 4.69; noun
van; 3; 4.69; noun
direction; 9; 4.69; noun
among; 5; 4.69; preposition
deliver; 7; 4.69; verb
address; 7; 4.69; noun
drugs; 5; 4.69; noun
response; 8; 4.69; noun
judge; 5; 4.69; noun
spring; 6; 4.69; noun
mission; 7; 4.69; noun
feed; 4; 4.69; verb
sorts; 5; 4.68; noun
rare; 4; 4.68; adjective
authorities; 11; 4.68; noun
boss; 4; 4.68; noun
castle; 6; 4.68; noun
spoke; 5; 4.68; verb
experts; 7; 4.68; noun
butter; 6; 4.68; noun
brand; 5; 4.68; noun
referendum; 10; 4.68; noun
showers; 7; 4.68; noun
consider; 8; 4.68; verb
soft; 4; 4.68; adjective
highest; 7; 4.68; adjective
lights; 6; 4.68; noun
empty; 5; 4.68; adjective
ministers; 9; 4.68; noun
harder; 6; 4.68; adjective
horses; 6; 4.68; noun
progress; 8; 4.68; noun
keeps; 5; 4.68; verb
claim; 5; 4.68; verb
rescue; 6; 4.68; noun
accident; 8; 4.68; noun
teacher; 7; 4.68; noun
struggling; 10; 4.68; verb
shit; 4; 4.68; noun
walked; 6; 4.67; verb
judges; 6; 4.67; noun
smaller; 7; 4.67; adjective
reds; 4; 4.67; noun
followed; 8; 4.67; verb
facing; 6; 4.67; verb
account; 7; 4.67; noun
female; 6; 4.67; adjective
concerns; 8; 4.67; noun
rule; 4; 4.67; noun
advantage; 9; 4.67; noun
loss; 4; 4.67; noun
shopping; 8; 4.67; noun
becoming; 8; 4.67; verb
population; 10; 4.67; noun
forest; 6; 4.67; noun
customers; 9; 4.67; noun
blues; 5; 4.67; noun
sheep; 5; 4.67; noun
beauty; 6; 4.67; noun
faith; 5; 4.67; noun
bonus; 5; 4.67; noun
cheers; 6; 4.67; name
model; 5; 4.67; noun
conservatives; 13; 4.67; name
tells; 5; 4.66; verb
investigation; 13; 4.66; noun
listening; 9; 4.66; verb
task; 4; 4.66; noun
guide; 5; 4.66; noun
temperatures; 12; 4.66; noun
escape; 6; 4.66; verb
faces; 5; 4.66; noun
largest; 7; 4.66; adjective
remain; 6; 4.66; verb
pleasure; 8; 4.66; noun
lying; 5; 4.66; verb
signed; 6; 4.66; verb
powers; 6; 4.66; noun
remains; 7; 4.66; verb
march; 5; 4.66; name
matt; 4; 4.66; name
bloody; 6; 4.66; adjective
doo; 3; 4.66; noun
unique; 6; 4.66; adjective
blame; 5; 4.66; verb
hide; 4; 4.66; verb
assembly; 8; 4.66; noun
planet; 6; 4.66; noun
shoes; 5; 4.66; noun
hammer; 6; 4.66; noun
learning; 8; 4.66; verb
spirit; 6; 4.66; noun
joining; 7; 4.66; verb
o'clock; 7; 4.66; adverb
delicious; 9; 4.66; adjective
achieve; 7; 4.66; verb
comfortable; 11; 4.66; adjective
runs; 4; 4.66; verb
chair; 5; 4.66; noun
male; 4; 4.66; noun
added; 5; 4.65; verb
coffee; 6; 4.65; noun
stock; 5; 4.65; noun
breaking; 8; 4.65; verb
director; 8; 4.65; noun
college; 7; 4.65; noun
neck; 4; 4.65; noun
saved; 5; 4.65; verb
threat; 6; 4.65; noun
strength; 8; 4.65; noun
owner; 5; 4.65; noun
emergency; 9; 4.65; noun
received; 8; 4.65; verb
sports; 6; 4.65; noun
currently; 9; 4.65; adverb
cheap; 5; 4.65; adjective
songs; 5; 4.65; noun
staying; 7; 4.65; verb
hearing; 7; 4.65; verb
setting; 7; 4.65; verb
argument; 8; 4.65; noun
bath; 4; 4.65; noun
product; 7; 4.65; noun
kiss; 4; 4.65; verb
chancellor; 10; 4.65; name
levels; 6; 4.65; noun
bottle; 6; 4.65; noun
brave; 5; 4.64; verb
mountain; 8; 4.64; noun
orange; 6; 4.64; noun
groups; 6; 4.64; noun
rose; 4; 4.64; name
freedom; 7; 4.64; noun
relief; 6; 4.64; noun
tired; 5; 4.64; adjective
obvious; 7; 4.64; adjective
shown; 5; 4.64; verb
reaction; 8; 4.64; noun
wake; 4; 4.64; verb
frank; 5; 4.64; name
learned; 7; 4.64; verb
partner; 7; 4.64; noun
avoid; 5; 4.64; verb
penalty; 7; 4.64; noun
sight; 5; 4.64; noun
computer; 8; 4.64; noun
except; 6; 4.64; preposition
distance; 8; 4.64; noun
image; 5; 4.64; noun
breakfast; 9; 4.64; noun
ability; 7; 4.64; noun
fill; 4; 4.64; verb
cabinet; 7; 4.64; name
broke; 5; 4.64; verb
determined; 10; 4.64; verb
survive; 7; 4.64; verb
giant; 5; 4.64; adjective
location; 8; 4.64; noun
named; 5; 4.64; verb
forced; 6; 4.64; verb
dropped; 7; 4.64; verb
democrats; 9; 4.64; name
immediately; 11; 4.64; adverb
stands; 6; 4.64; verb
medal; 5; 4.64; noun
mentioned; 9; 4.64; verb
drinking; 8; 4.64; noun
knowing; 7; 4.64; verb
income; 6; 4.64; noun
voted; 5; 4.64; verb
plays; 5; 4.64; verb
windows; 7; 4.64; noun
pocket; 6; 4.63; noun
split; 5; 4.63; verb
conference; 10; 4.63; noun
reform; 6; 4.63; noun
dealing; 7; 4.63; verb
healthy; 7; 4.63; adjective
walls; 5; 4.63; noun
non; 3; 4.63; noun
surface; 7; 4.63; noun
horrible; 8; 4.63; adjective
detail; 6; 4.63; noun
suggest; 7; 4.63; verb
metal; 5; 4.63; noun
store; 5; 4.63; noun
fashion; 7; 4.63; noun
greater; 7; 4.63; adjective
described; 9; 4.63; verb
medical; 7; 4.63; adjective
ancient; 7; 4.63; adjective
reserve; 7; 4.63; noun
whilst; 6; 4.63; noun
shock; 5; 4.63; noun
hardly; 6; 4.63; adverb
stood; 5; 4.63; verb
mail; 4; 4.63; noun
